15.55,28.65,2
14.9,27.55,2
14.45,28.35,1
14.15,28.8,1
13.75,28.05,1
13.35,28.45,1
13.0,29.15,1
13.45,27.5,1
13.6,26.5,1
12.8,27.35,1
12.4,27.85,1
12.3,28.4,1
12.2,28.65,1
13.4,25.1,1
12.95,25.95,1
12.9,26.5,1
11.85,27.0,1
11.35,28.0,1
11.15,28.7,1
11.25,27.4,1
10.75,27.7,1
10.5,28.35,1
9.65,28.45,1
10.25,27.25,1
10.75,26.55,1
11.7,26.35,1
11.6,25.9,1
11.9,25.05,1
12.6,24.05,1
11.9,24.5,1
11.1,25.2,1
10.55,25.15,1
10.05,25.95,1
9.35,26.6,1
9.3,27.25,1
9.2,27.8,1
7.5,28.25,1
8.55,27.45,1
8.5,27.05,1
8.05,27.2,1
7.85,26.8,1
7.3,27.4,1
6.8,26.85,1
7.0,26.5,1
7.55,26.3,1
8.55,26.3,1
9.0,25.85,1
8.6,25.65,1
9.4,25.55,1
8.45,25.05,1
8.85,24.6,1
9.65,24.7,1
10.55,24.35,1
11.05,23.9,1
10.55,23.55,1
9.45,23.35,1
9.2,23.9,1
8.35,23.9,1
7.35,24.75,1
7.4,25.45,1
6.6,25.75,1
6.1,26.0,1
5.8,26.95,1
5.65,25.8,1
5.3,26.1,1
6.4,25.4,1
5.4,25.25,1
5.35,24.7,1
4.8,25.05,1
4.2,25.55,1
6.4,24.8,1
6.55,24.3,1
7.4,24.25,1
5.45,24.2,1
4.3,24.0,1
4.0,24.25,1
3.35,23.3,1
4.85,23.05,1
4.3,22.75,1
5.85,23.4,1
5.9,23.55,1
7.55,23.7,1
6.85,23.25,1
7.65,23.1,1
6.95,22.55,1
6.1,22.6,1
5.5,22.6,1
4.7,22.1,1
3.8,21.85,1
4.65,21.2,1
4.15,20.35,1
5.3,20.4,1
5.6,20.75,1
5.8,21.95,1
6.4,21.95,1
6.55,21.15,1
7.45,21.95,1
7.4,21.55,1
7.75,21.2,1
7.65,20.65,1
6.95,19.8,1
6.6,20.1,1
6.05,20.2,1
5.4,19.65,1
5.35,19.05,1
5.8,18.25,1
6.3,19.1,1
7.0,18.9,1
7.15,17.9,1
7.35,18.2,1
8.2,20.05,1
8.3,19.45,1
8.3,18.5,1
8.75,18.8,1
9.05,18.2,1
9.35,17.7,1
8.9,17.65,1
8.45,17.2,1
10.05,17.2,1
10.4,16.75,1
8.6,20.9,1
8.65,21.3,1
8.65,21.9,1
8.65,22.5,1
8.95,22.8,1
9.95,22.65,1
8.95,22.2,1
9.65,21.9,1
10.55,22.3,1
10.9,22.85,1
11.35,23.45,1
12.05,23.4,1
12.3,22.75,1
11.7,22.15,1
11.15,22.05,1
10.85,21.5,1
10.85,21.05,1
9.6,21.3,1
9.85,20.7,1
9.35,20.6,1
9.25,19.65,1
9.95,19.8,1
10.7,20.35,1
11.3,20.7,1
12.35,21.6,1
13.1,21.3,1
12.85,20.75,1
12.0,20.0,1
11.0,19.85,1
10.35,19.0,1
9.9,18.65,1
10.6,18.15,1
11.4,18.3,1
11.4,19.25,1
12.35,18.8,1
12.8,19.75,1
12.15,18.1,1
11.05,17.5,1
11.95,17.25,1
12.25,17.5,1
13.05,17.4,1
13.75,18.15,1
13.5,18.65,1
13.65,19.25,1
14.0,19.9,1
15.2,18.2,1
15.5,17.15,2
13.9,17.1,1
13.75,16.6,1
12.15,16.4,1
7.8,13.7,1
8.85,13.35,1
9.0,12.7,5
9.7,12.1,5
8.05,12.9,5
7.7,13.25,1
6.8,13.2,1
6.6,13.45,1
6.2,12.55,1
5.4,12.85,1
5.7,12.25,1
5.2,11.9,1
5.15,11.35,5
5.85,11.2,5
6.1,11.75,5
7.0,12.35,5
7.05,12.45,5
7.9,12.5,5
8.55,12.1,5
7.85,11.85,5
7.1,11.95,5
6.9,11.5,5
6.85,10.9,5
6.4,10.7,5
5.9,10.3,5
6.4,10.25,5
